,user_id,condition,id_int,puzzle_cnt,phase,chosen_graph,diff,mis_size,prob,vertices,edges,intersects,valid_sols,success,success_fine,cumu_success,cumu_fail,cumu_quickfail,cumu_timeout,cumu_success_avg,cumu_fail_avg,has_success,has_fail,has_timeout,avg_success_diff,avg_fail_diff,avg_timeout_diff,time,clicks,max_is
608,static-inc:19,static-inc,58,7,train,140,51.37255950788981,5,0.3739,12,26,11,2,False,time,1,4,3,1,0.14285714285714285,0.5714285714285714,1,1,1,41.6043710204784,60.00205469344105,49.326530612244895,90,21,4
609,static-inc:17,static-inc,56,10,train,159,58.84938481120068,7,0.4714,16,28,13,10,True,success,3,5,2,1,0.3,0.5,1,1,1,46.61577162615098,59.45599849090045,55.898641588296755,44.986,15,7
610,self-det:34,self-det,33,1,pre-test,306,83.8921568627451,7,0.1632,15,26,8,1,False,blunder,0,0,0,0,0.0,0.0,0,0,0,0,0,0,30.704,7,5
611,self-det:21,self-det,20,6,train,163,65.0,6,0.4,15,35,21,6,True,success,2,2,0,1,0.3333333333333333,0.3333333333333333,1,1,1,52.610996093199546,67.20083941103618,83.61370716510903,21.064,6,6
612,self-det:23,self-det,22,10,train,10,39.35186002058521,5,0.6801,12,20,6,6,True,success,2,7,3,0,0.2,0.7,1,1,0,39.49579608956097,56.70151358443355,0,13.571,5,5
613,static-inc:25,static-inc,64,5,train,16,46.11876388608362,6,0.4951,13,21,2,4,True,success,2,2,1,0,0.4,0.4,1,1,0,55.001021145171535,62.67519186667124,0,42.844,12,6
614,self-det:17,self-det,16,14,train,69,55.08912056499075,6,0.5947,15,30,12,10,False,quick_blunder,4,8,4,1,0.2857142857142857,0.5714285714285714,1,1,1,44.8803040947418,62.02941729209774,64.96878901373283,13.798,8,2
615,self-det:33,self-det,32,6,train,187,76.30531732418524,6,0.1749,14,28,14,1,False,blunder,4,1,1,0,0.6666666666666666,0.16666666666666666,1,1,0,64.5825305395168,64.5680473372781,0,52.57,20,5
616,static-inc:24,static-inc,63,11,train,74,60.96351197263398,7,0.4385,16,29,8,6,True,success,6,2,2,2,0.5454545454545454,0.18181818181818182,1,1,1,48.23732198811024,66.58939053328338,64.17771011917068,29.817,19,7
617,self-det:27,self-det,26,1,pre-test,306,83.8921568627451,7,0.1632,15,26,8,1,False,blunder,0,0,0,0,0.0,0.0,0,0,0,0,0,0,60.565,18,5
618,static-inc:31,static-inc,70,2,pre-test,301,40.25320317266626,5,0.3278,10,15,1,1,False,blunder,0,0,0,1,0.0,0.0,0,0,1,0,0,69.83363148479428,66.225,20,4
619,static-inc:17,static-inc,56,11,train,48,60.71989613761765,7,0.3081,15,23,6,3,True,success,4,5,2,1,0.36363636363636365,0.45454545454545453,1,1,1,49.67417492241341,59.45599849090045,55.898641588296755,19.199,7,7
620,static-inc:18,static-inc,57,11,train,61,61.138260432378075,5,0.1989,12,24,9,1,False,blunder,7,3,0,0,0.6363636363636364,0.2727272727272727,1,1,0,50.16892481121483,66.55004040003968,0,45.033,13,4
621,self-det:30,self-det,29,1,pre-test,305,83.61370716510903,7,0.1605,15,25,4,1,False,time,0,0,0,0,0.0,0.0,0,0,0,0,0,0,90,28,6
622,static-inc:32,static-inc,71,4,train,13,41.73667656823344,5,0.5723,12,21,4,5,False,quick_blunder,2,1,1,0,0.5,0.25,1,1,0,62.07268001770568,69.83363148479428,0,16.942,7,4
